stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
50116,11,Sapadores,,38.72179650,-9.12875600,,,0,,,
50119,20,R. Faustino José Rodrigues,,38.73421150,-9.11548300,,,0,,,
50118,9,Poço Bispo,,38.74175150,-9.10041100,,,0,,,
4109,11,Belém,,38.69713310,-9.20071840,,,0,,,
1103,4,Av. Liberdade,,38.71973250,-9.14501100,,,0,,,
2019,5,Estação Entrecampos,,38.74501650,-9.14770800,,,0,,,
2009,7,Av. Forças Armadas / R. Sanches Coelho,,38.74773450,-9.15257300,,,0,,,
6502,5,Estefânia,,38.73255250,-9.14099100,,,0,,,
50416,21,R. Raul Carapinha,,38.74140150,-9.17363400,,,0,,,
50417,19,R. Fernando Sylan,,38.74020350,-9.17335100,,,0,,,
50410,41,R. Eng. Maciel Chaves,,38.73632450,-9.12377500,,,0,,,
50411,21,Esc. Luis António Verney,,38.73454650,-9.11354000,,,0,,,
50412,22,Estr. Marvila,,38.73464450,-9.10856700,,,0,,,
50413,23,Cç. Duque Lafões,,38.73375950,-9.10742200,,,0,,,
7406,30,Av. Sta. Joana Princesa,,38.75468050,-9.13655000,,,0,,,
50418,18,R. Alcina Bastos,,38.74126150,-9.17596400,,,0,,,
50419,10,R. Soeiros,,38.75586950,-9.17730400,,,0,,,
2133,35,Estação Sta. Apolónia,,38.71400590,-9.12228500,,,0,,,
2123,16,Campo Sta. Clara,,38.71538650,-9.12307900,,,0,,,
2113,5,Estação Sta. Apolónia,,38.71431800,-9.12156200,,,0,,,
2103,16,R. Bica Sapato,,38.71637250,-9.12062200,,,0,,,
4305,10,Estr. Costa,,38.70336550,-9.25143100,,,0,,,
3009,3,R. Gen. Fernando Tamagnini,,38.74631840,-9.22260520,,,0,,,
7502,15,Av. Brasil (Rot. Relógio),,38.76236050,-9.13049400,,,0,,,
3019,2,R. Bernardino Machado,,38.74321450,-9.21875900,,,0,,,
50313,27,Vale Forno,,38.77569550,-9.17810300,,,0,,,
7512,30,Qta. Narigão,,38.75825050,-9.13018300,,,0,,,
8013,31,Esc. Manuel Maia,,38.71698850,-9.16962500,,,0,,,
8003,4,R. 4 Infantaria,,38.71826750,-9.16478000,,,0,,,
50316,13,Passeio Adamastor,,38.75773250,-9.09660300,,,0,,,
50315,39,Passeio Adamastor,,38.75793450,-9.09630900,,,0,,,
50314,28,Qta. Olival (C. Triagem),,38.77678870,-9.17481120,,,0,,,
6129,11,Campolide (Av. Cons. Fernando Sousa),,38.72739270,-9.16143380,,,0,,,
9709,21,R. Alto Duque,,38.70101450,-9.22146000,,,0,,,
6119,19,Campolide,,38.72772550,-9.16204900,,,0,,,
6109,7,B. Campolide,,38.72896050,-9.16609100,,,0,,,
50616,1,Av. Inf. D. Henrique (Ponte Xabregas),,38.72538880,-9.11214030,,,0,,,
50617,5,Av. Guerra Junqueiro,,38.73871320,-9.13550110,,,0,,,
50614,6,R. Garridas,,38.74558160,-9.20063000,,,0,,,
50612,12,R. Azevinho,,38.73302000,-9.20600600,,,0,,,
50613,17,B. Boavista,,38.73514000,-9.20460000,,,0,,,
50611,23,Centro Saúde Benfica,,38.74807000,-9.20029000,,,0,,,
1406,30,B. Azul,,38.73340950,-9.15451700,,,0,,,
50618,9,R. Barão Sabrosa,,38.73724420,-9.12912210,,,0,,,
50619,22,R. Sousa Viterbo,,38.72732430,-9.12109730,,,0,,,
50515,2,R. Guiomar Torresão,,38.75773550,-9.19156200,,,0,,,
50514,1,Carnide (C. Comercial),,38.75625450,-9.18814600,,,0,,,
1502,20,B. Azul (Gulbenkian),,38.73652750,-9.15593200,,,0,,,
1512,29,R. Filipe Mata,,38.74131160,-9.16028700,,,0,,,
50517,12,Panteão Nacional,,38.71457950,-9.12525500,,,0,,,
50516,5,R. Damasceno Monteiro,,38.72103450,-9.13177900,,,0,,,
50511,8,R. Prof. Lindley Cintra,,38.77000250,-9.19289700,,,0,,,
50510,16,Cç. Quintinha,,38.72594830,-9.16941060,,,0,,,
50512,9,R. Rio Cávado (C. Cultural),,38.76978950,-9.19105700,,,0,,,
50519,14,R. Remédios,,38.71211550,-9.12704700,,,0,,,
50518,13,R. Paraíso,,38.71342150,-9.12527000,,,0,,,
7305,12,Av. Alm. Gago Coutinho / Av. EUA,,38.74959760,-9.13074600,,,0,,,
5804,29,Campo Grande Norte,,38.75786450,-9.15540400,,,0,,,
5814,15,Hosp. Pulido Valente,,38.76526550,-9.15734600,,,0,,,
5824,23,R. Francisco Stromp,,38.76343350,-9.15944300,,,0,,,
5508,18,Pç. Comércio,,38.70837450,-9.13773700,,,0,,,
2512,42,R. Caribe,,38.76621850,-9.09780100,,,0,,,
13622,21,R. António Albino Machado,,38.75460550,-9.16814100,,,0,,,
8440,4,R. Manhiça,,38.75829360,-9.10824600,,,0,,,
